"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population
USA,42634054,688486,32347726,9597842,25209,127897,2065,615684393,1846976,333347223
India,33381728,444278,32598424,339026,8944,23906,318,547701729,392229,1396383360
Brazil,21069017,589277,20173064,306676,8318,98277,2749,57095219,266322,214384223
UK,7339009,134805,5907029,1297175,1081,107426,1973,288664707,4225384,68316802
Russia,7214520,195835,6452398,566287,2300,49411,1341,185100000,1267721,146010102
France,6934732,115894,6595374,223464,2000,105958,1771,134787318,2059455,65448064
Turkey,6767008,60903,6262690,443415,633,79207,713,81422835,953044,85434482
Iran,5378408,116072,4682704,579632,6981,63060,1361,30123729,353191,85290152
Argentina,5234851,114101,5087120,33630,1614,114557,2497,24252818,530737,45696487
Colombia,4936052,125782,4774661,35609,542,95776,2441,24920135,483534,51537524
Spain,4926324,85739,4625052,215533,1058,105316,1833,63040355,1347688,46776669
Italy,4623155,130167,4376646,116342,531,76600,2157,88516407,1466612,60354334
Indonesia,4181309,139919,3968152,73238,,15094,505,35557405,128359,277014855
Germany,4129138,93454,3873700,161984,1217,49093,1111,70379237,836776,84107665
Mexico,3549229,270346,2897667,381216,4798,27183,2071,10302152,78903,130567887
Poland,2895947,75464,2658636,161847,95,76619,1997,20373472,539031,37796497
South Africa,2873415,85779,2706293,81343,546,47722,1425,17236691,286272,60210991
Ukraine,2331540,54651,2226629,50260,177,53702,1259,12377327,285087,43415936
Philippines,2304192,36018,2090228,177946,3170,20695,323,20047991,180060,111340780
Peru,2164380,198891,N/A,N/A,1071,64558,5932,17377197,518321,33525950
Malaysia,2049750,22355,1800278,227117,1234,62366,680,28070385,854076,32866366
Netherlands,1979114,18097,1888337,72680,205,115194,1053,16873290,982108,17180691
Iraq,1967187,21683,1846158,99346,626,47620,525,14895398,360579,41309684
Czechia,1684881,30422,1649849,4610,29,156981,2834,37131801,3459595,10732992
Japan,1657004,16959,1539958,100087,1743,13150,135,23638872,187598,126008257
Chile,1645820,37293,1602703,5824,463,85212,1931,21081270,1091483,19314333
Canada,1564089,27325,1493619,43145,638,41007,716,41861477,1097525,38141706
Bangladesh,1538203,27109,1494090,17004,1432,9229,163,9363609,56181,166670080
